test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
cyclic6,14.5177,6,564.0,3891.0,55.5917,63.3516,6,6,4.3637,4455.0,RAM,1g,data/series_1/RAM/summary_1g.csv,cyclic6,14.5177,,False,14.5177
d1,61.1642,12,2279.0,1994.0,84.8789,106.082,12,12,1.7344,4273.0,RAM,1g,data/series_1/RAM/summary_1g.csv,d1,61.1642,,False,61.1642
des18_3,4.2631,8,275.0,375.0,44.3062,56.1133,8,8,13.1626,650.0,RAM,1g,data/series_1/RAM/summary_1g.csv,des18_3,4.2631,,False,4.2631
des22_24,4.93,10,501.0,370.0,47.1022,59.3164,10,10,12.0317,871.0,RAM,1g,data/series_1/RAM/summary_1g.csv,des22_24,4.93,,False,4.93
dessin1,4.2052,8,275.0,377.0,44.3844,56.3086,8,8,13.3902,652.0,RAM,1g,data/series_1/RAM/summary_1g.csv,dessin1,4.2052,,False,4.2052
dessin2,7.461,10,558.0,333.0,50.2432,60.7305,10,10,8.1397,891.0,RAM,1g,data/series_1/RAM/summary_1g.csv,dessin2,7.461,,False,7.461
eco7,1.766,7,261.0,217.0,35.8789,53.8203,7,7,30.4758,478.0,RAM,1g,data/series_1/RAM/summary_1g.csv,eco7,1.766,,False,1.766
eco8,16.5891,8,789.0,959.0,54.8079,59.4414,8,8,3.5832,1748.0,RAM,1g,data/series_1/RAM/summary_1g.csv,eco8,16.5891,,False,16.5891
eco9,182.8818,9,2206.0,3571.0,70.6546,72.8945,9,9,0.3986,5777.0,RAM,1g,data/series_1/RAM/summary_1g.csv,eco9,182.8818,,False,182.8818
extcyc4,0.3827,5,137.0,460.0,0.4062,0.4062,5,5,1.0615,597.0,RAM,1g,data/series_1/RAM/summary_1g.csv,extcyc4,0.3827,,False,0.3827
extcyc5,69.5888,6,738.0,9167.0,71.5584,86.8164,6,6,1.2476,9905.0,RAM,1g,data/series_1/RAM/summary_1g.csv,extcyc5,69.5888,,False,69.5888
f633,1.069,10,318.0,627.0,26.3027,52.4023,9,10,49.02,945.0,RAM,1g,data/series_1/RAM/summary_1g.csv,f633,1.069,,False,1.069
f744,217.8808,12,3574.0,4121.0,99.02,114.0078,12,12,0.5233,7695.0,RAM,1g,data/series_1/RAM/summary_1g.csv,f744,217.8808,,False,217.8808
fabrice24,136.2122,9,1225.0,1051.0,110.3032,129.6641,9,9,0.9519,2276.0,RAM,1g,data/series_1/RAM/summary_1g.csv,fabrice24,136.2122,,False,136.2122
filter9,184.0103,9,6284.0,17292.0,85.4673,102.6836,9,9,0.558,23576.0,RAM,1g,data/series_1/RAM/summary_1g.csv,filter9,184.0103,,False,184.0103
geneig,0.5902,6,94.0,51.0,0.2031,0.2031,6,6,0.3442,145.0,RAM,1g,data/series_1/RAM/summary_1g.csv,geneig,0.5902,,False,0.5902
hairer1,0.0331,8,42.0,24.0,0.207,0.207,6,8,6.2547,66.0,RAM,1g,data/series_1/RAM/summary_1g.csv,hairer1,0.0331,,False,0.0331
hcyclic5,0.1589,6,89.0,542.0,0.2656,0.2656,5,6,1.6716,631.0,RAM,1g,data/series_1/RAM/summary_1g.csv,hcyclic5,0.1589,,False,0.1589
hcyclic6,5.3359,7,273.0,4129.0,46.304,56.1523,6,7,10.5235,4402.0,RAM,1g,data/series_1/RAM/summary_1g.csv,hcyclic6,5.3359,,False,5.3359
heart,0.0706,8,75.0,3.0,0.1992,0.1992,8,8,2.8218,78.0,RAM,1g,data/series_1/RAM/summary_1g.csv,heart,0.0706,,False,0.0706
hemmecke,0.0466,4,11.0,14.0,0.5508,0.5508,3,4,11.8193,25.0,RAM,1g,data/series_1/RAM/summary_1g.csv,hemmecke,0.0466,,False,0.0466
hf744,173.3241,13,1906.0,18083.0,76.491,82.0156,12,13,0.4732,19989.0,RAM,1g,data/series_1/RAM/summary_1g.csv,hf744,173.3241,,False,173.3241
hietarinta1,200.9979,10,6214.0,5858.0,109.2139,128.9219,62,10,0.6414,12072.0,RAM,1g,data/series_1/RAM/summary_1g.csv,hietarinta1,200.9979,,False,200.9979
hunecke,0.0054,5,1.0,15.0,27.7695,51.8438,8,5,9600.6944,16.0,RAM,1g,data/series_1/RAM/summary_1g.csv,hunecke,0.0054,,False,0.0054
i1,250.9532,12,3516.0,3515.0,171.023,214.6328,10,12,0.8553,7031.0,RAM,1g,data/series_1/RAM/summary_1g.csv,i1,250.9532,,False,250.9532
issac97,0.1512,4,25.0,15.0,27.7207,53.7031,4,4,355.1794,40.0,RAM,1g,data/series_1/RAM/summary_1g.csv,issac97,0.1512,,False,0.1512
jcf26,279.1705,34,3689.0,1037.0,158.9669,200.0781,34,34,0.7167,4726.0,RAM,1g,data/series_1/RAM/summary_1g.csv,jcf26,279.1705,,False,279.1705
katsura6,7.0576,7,280.0,429.0,50.0326,56.3438,7,7,7.9834,709.0,RAM,1g,data/series_1/RAM/summary_1g.csv,katsura6,7.0576,,False,7.0576
katsura7,57.3364,8,719.0,1755.0,63.8821,66.6289,8,8,1.1621,2474.0,RAM,1g,data/series_1/RAM/summary_1g.csv,katsura7,57.3364,,False,57.3364
katsura8,529.9113,9,2237.0,7425.0,100.1344,107.2109,9,9,0.2023,9662.0,RAM,1g,data/series_1/RAM/summary_1g.csv,katsura8,529.9113,,False,529.9113
kin1,52.6781,12,2022.0,1808.0,78.6396,97.2695,12,12,1.8465,3830.0,RAM,1g,data/series_1/RAM/summary_1g.csv,kin1,52.6781,,False,52.6781
kinema,6.077,9,377.0,325.0,49.5869,56.8789,9,9,9.3597,702.0,RAM,1g,data/series_1/RAM/summary_1g.csv,kinema,6.077,,False,6.077
kotsireas,391.3275,7,747.0,2969.0,275.7465,340.2031,6,7,0.8694,3716.0,RAM,1g,data/series_1/RAM/summary_1g.csv,kotsireas,391.3275,,False,391.3275
ku10,0.1221,10,795.0,123.0,27.2129,52.6758,10,10,431.4151,918.0,RAM,1g,data/series_1/RAM/summary_1g.csv,ku10,0.1221,,False,0.1221
lanconelli,0.004,11,7.0,2.0,26.6523,51.8633,4,11,12965.8203,9.0,RAM,1g,data/series_1/RAM/summary_1g.csv,lanconelli,0.004,,False,0.004
lichtblau,0.7076,3,4.0,111.0,29.6172,58.3984,2,3,82.5303,115.0,RAM,1g,data/series_1/RAM/summary_1g.csv,lichtblau,0.7076,,False,0.7076
liu,0.0489,6,22.0,57.0,26.9727,52.1953,4,6,1067.3888,79.0,RAM,1g,data/series_1/RAM/summary_1g.csv,liu,0.0489,,False,0.0489
